Date,Close,Close,Close,Close
26.05.2021 16:00:00,"126,85","4192,85","18,04","177,64"
27.05.2021 16:00:00,"125,28","4229,89","16,42","177,71"
28.05.2021 16:00:00,"124,61","4226,52","16,42","178,38"
01.06.2021 16:00:00,"124,28","4227,26","17,07","177,9"
02.06.2021 16:00:00,"125,06","4219,55","17,89","178,77"
03.06.2021 16:00:00,"123,54","4239,18","16,1","175,27"
04.06.2021 16:00:00,"125,89","4247,44","15,65","177,16"
07.06.2021 16:00:00,"125,9","4255,15","16,39","177,87"
08.06.2021 16:00:00,"126,74","4246,59","17,02","177,32"
09.06.2021 16:00:00,"127,13","4223,7","18,15","176,98"
10.06.2021 16:00:00,"126,11","4221,86","17,75","177,74"
11.06.2021 16:00:00,"127,35","4166,45","20,7","175,74"
14.06.2021 16:00:00,"130,48","4224,79","17,89","174,71"
15.06.2021 16:00:00,"129,64","4246,44","16,66","174,05"
16.06.2021 16:00:00,"130,15","4241,84","16,32","171,11"
17.06.2021 16:00:00,"131,79","4266,49","15,97","165,85"
18.06.2021 16:00:00,"130,46","4280,7","15,62","164,93"
21.06.2021 16:00:00,"132,3","4290,61","15,76","166,95"
22.06.2021 16:00:00,"133,98","4291,8","16,02","166,25"
23.06.2021 16:00:00,"133,7","4297,5","15,83","166,14"
24.06.2021 16:00:00,"133,41","4319,94","15,48","166,04"
25.06.2021 16:00:00,"133,11","4352,34","15,07","166,59"
28.06.2021 16:00:00,"134,78","4343,54","16,44","166,58"
29.06.2021 16:00:00,"136,33","4358,13","16,2","164,83"
30.06.2021 16:00:00,"136,96","4320,82",19,"165,63"
01.07.2021 16:00:00,"137,27","4369,55","16,18","166,2"
02.07.2021 16:00:00,"139,96","4384,63","16,17","167,29"
06.07.2021 16:00:00,"142,02","4369,21","17,12","168,12"
07.07.2021 16:00:00,"144,57","4374,3","16,33","168,76"
08.07.2021 16:00:00,"143,24","4360,03","17,01","168,65"
09.07.2021 16:00:00,"145,11","4327,16","18,45","169,21"
12.07.2021 16:00:00,"144,5","4258,49","22,5",169
13.07.2021 16:00:00,"145,64","4323,06","19,73","169,22"
14.07.2021 16:00:00,"149,15","4358,69","17,91","171,04"
15.07.2021 16:00:00,"148,48","4367,48","17,69","171,07"
16.07.2021 16:00:00,"146,39","4411,79","17,2","169,41"
19.07.2021 16:00:00,"142,45","4422,3","17,58","169,61"
20.07.2021 16:00:00,"146,15","4401,46","19,36","169,39"
21.07.2021 16:00:00,"145,4","4400,64","18,31","168,76"
22.07.2021 16:00:00,"146,8","4419,15","17,7","169,09"
23.07.2021 16:00:00,"148,56","4395,26","18,24","168,56"
26.07.2021 16:00:00,"148,99","4387,16","19,46","168,16"
27.07.2021 16:00:00,"146,77","4423,15","18,04","168,44"
28.07.2021 16:00:00,"144,98","4402,66","17,97","169,29"
29.07.2021 16:00:00,"145,64","4429,1","17,28","171,17"
30.07.2021 16:00:00,"145,86","4436,52","16,15","169,82"
02.08.2021 16:00:00,"145,52","4432,35","16,72","169,61"
03.08.2021 16:00:00,"147,36","4436,75","16,79","169,49"
